date,code,name,close_price,high_price,low_price,open_price,yest_close_price,diff,diff_ratio,volume,amount
2001-02-26,000001,sh,1954.693,1954.779,1935.547,1940.77,1936.346,18.347,0.9475,7624348,7163293750.0
2001-02-23,000001,sh,1936.346,1936.634,1906.551,1906.914,1907.26,29.086,1.525,6209740,5815828130.0
2001-02-22,000001,sh,1907.26,1922.457,1893.783,1901.993,1909.326,-2.066,-0.1082,5054734,5336661880.0
2001-02-21,000001,sh,1909.326,1948.417,1901.205,1948.417,1953.218,-43.892,-2.2472,7617817,7654377500.0
2001-02-20,000001,sh,1953.218,1980.386,1947.255,1969.777,1967.55,-14.332,-0.7284,6435934,6580741880.0
2001-02-19,000001,sh,1967.55,1969.347,1935.651,1942.579,1941.964,25.586,1.3175,5846083,5439100000.0
2001-02-16,000001,sh,1941.964,1942.123,1911.871,1942.049,1946.479,-4.515,-0.232,6750210,6347095000.0
2001-02-15,000001,sh,1946.479,1966.923,1944.56,1963.449,1963.2,-16.721,-0.8517,4506756,4397333750.0
2001-02-14,000001,sh,1963.2,1966.84,1956.423,1962.738,1963.528,-0.328,-0.0167,4382153,4323174690.0
2001-02-13,000001,sh,1963.528,1973.999,1958.991,1962.527,1961.221,2.307,0.1176,5403514,5318757500.0
2001-02-12,000001,sh,1961.221,1961.81,1935.587,1958.655,1956.97,4.251,0.2172,7203075,6802570000.0
2001-02-09,000001,sh,1956.97,1963.329,1935.188,1935.188,1930.138,26.832,1.3902,11237019,8405287500.0
2001-02-08,000001,sh,1930.138,1986.898,1926.4,1977.559,1979.939,-49.801,-2.5153,8885737,7956579380.0
2001-02-07,000001,sh,1979.939,1998.25,1978.599,1995.603,1995.315,-15.376,-0.7706,5882229,5378365630.0
2001-02-06,000001,sh,1995.315,1999.725,1956.178,1999.723,2008.032,-12.717,-0.6333,9528427,8394835630.0
2001-02-05,000001,sh,2008.032,2072.547,2005.683,2069.856,2065.606,-57.574,-2.7873,8974243,7827931880.0
2001-01-19,000001,sh,2065.606,2067.877,2046.541,2046.581,2043.11,22.496,1.1011,11831264,9318026880.0
2001-01-18,000001,sh,2043.11,2049.355,2033.576,2033.686,2034.584,8.526,0.4191,10341571,8913571880.0
2001-01-17,000001,sh,2034.584,2048.695,2031.756,2046.377,2045.887,-11.303,-0.5525,7324134,6883815630.0
2001-01-16,000001,sh,2045.887,2045.946,2007.706,2018.298,2032.443,13.444,0.6615,11583722,10803420000.0
2001-01-15,000001,sh,2032.443,2097.092,2030.288,2097.091,2104.747,-72.304,-3.4353,14998588,14112385000.0
2001-01-12,000001,sh,2104.747,2117.727,2100.273,2116.846,2119.141,-14.394,-0.6792,10660882,11404471250.0
2001-01-11,000001,sh,2119.141,2131.368,2117.029,2129.61,2125.615,-6.474,-0.3046,14072209,15104985000.0
2001-01-10,000001,sh,2125.615,2125.67,2102.066,2102.085,2101.135,24.48,1.1651,12916883,13466762500.0
2001-01-09,000001,sh,2101.135,2111.1,2082.841,2099.323,2102.064,-0.929,-0.0442,11649338,11961120000.0
2001-01-08,000001,sh,2102.064,2131.98,2092.097,2128.602,2125.3,-23.236,-1.0933,14787085,16322580000.0
2001-01-05,000001,sh,2125.3,2125.381,2114.056,2117.664,2117.405,7.895,0.3729,13288175,15279360000.0
2001-01-04,000001,sh,2117.405,2127.419,2113.179,2125.485,2123.899,-6.494,-0.3058,13423540,14704512500.0
2001-01-03,000001,sh,2123.899,2123.9,2105.497,2108.254,2103.469,20.43,0.9713,17157672,18199506250.0
2001-01-02,000001,sh,2103.469,2103.538,2074.882,2077.076,2073.477,29.992,1.4465,18650746,14599877500.0
2000-12-29,000001,sh,2073.477,2073.878,2055.505,2055.828,2053.704,19.773,0.9628,13658680,11484676250.0
